Country Name,Country Code,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Afghanistan,AFG,42.4,101.62258744948991,9.0,43.004,1333.7472666189688,1.84,3463.66886342685,2.096288750421252,652230.0,540065585.0,3019860129.0,2.335545701939,215753.0,49.2514090938579,48.4650217036667,27.6859504132231,21.2,3176.256750374711,21.1241481349633,92.3506316077969,3724.0,451.0,50.5,718.0,168.0,882.0,414.0,258.0
Angola,AGO,38.5,86.49313042772805,6.0,64.775,7315.602330566665,1.9,51983.44947896312,19.427382503744184,1246700.0,62645765523.0,23923113413.0,3.5731203806270697,100370.0,45.108712753413,52.1529400233703,37.2727272727273,55.4,7686.607989739222,58.5851745819614,77.6124239019324,,,,,,,,
Albania,ALB,100.0,35.15672186253772,8.0,46.245,7927.817765287705,23.86,14443.607578427322,3.498639125057608,27400.0,1341821294.0,5241051296.0,1.98486885667765,-50619.0,23.363673162474,66.4557863939707,7.14285714285714,35.8,10251.466239426214,49.3850699230207,58.423704765182,,,,,,,,
United Arab Emirates,ARE,100.0,20.66637897051321,6.0,74.887,94628.26666075375,63.0,103508.47446838366,18.53335308492518,71020.0,178715647739.0,152512664376.0,3.6680226492701,523207.0,16.8605674631737,81.5845266712198,22.5,0.1,64484.19817889567,82.9658963549658,0.318188339668984,,,,,,,,
Argentina,ARG,97.5,41.06235057723698,13.0,55.692,17276.757088680555,28.1126,36164.3166177845,23.1711649813124,2736690.0,68406210550.0,54201458905.0,0.762756475390461,-12517.0,26.1420104636466,63.6641840911527,40.0,7.7,25108.6360332819,90.6521912139817,19.101684185786432,5961.0,892.0,66.06,678.0,-135.0,865.0,0.72,318.0
Armenia,ARM,99.2,27.9628782078826,10.0,50.108,7827.316667464942,6.21,15587.110731015153,5.989562360687344,28470.0,1050341947.0,4424457154.0,3.3955793627065702,-29732.0,19.4151331592337,69.4318561887033,8.3969465648855,6.4,7801.922319569286,64.3840928379746,45.5559487862975,4652.0,709.0,64.32,462.0,-216.0,876.0,486.0,385.0
Australia,AUS,100.0,28.60648208594621,11.0,62.783,37616.0112400482,71.67,110446.36162494191,4.567706523871678,7682300.0,183081578469.0,198969521888.0,1.79619704962465,275773.0,19.3123413517601,67.5103706198825,26.6666666666667,6.8,95350.29179180288,86.0253816967666,9.463789679973813,7254.0,947.0,70.04,916.0,302.0,431.0,729.0,218.0
Austria,AUT,100.0,22.60056118557845,9.0,57.153,41046.79003521116,72.87,95906.0924204029,1.9337907132068324,82520.0,181454428659.0,184482965075.0,0.876420517647602,25405.0,15.2486783261712,67.4703488810414,27.3224043715847,29.7,80246.10185878263,67.0435560819078,11.277307401817373,7181.0,935.0,69.7,879.0,287.0,614.0,716.0,173.0
Azerbaijan,AZE,99.7,32.88684701922914,9.0,57.259,13216.843497443166,17.08,45376.71141640073,27.97103611420482,82627.0,47755223808.0,7163901714.0,3.29121114577001,15047.0,23.1820340272057,70.4902809165326,11.3821138211382,3.1,6811.780192175004,53.063304901123,56.0017287622825,4817.0,684.0,61.14,601.0,-31.0,715.0,561.0,227.0
Burundi,BDI,4.8,86.2560346464183,,76.607,609.0429064618187,0.81,3186.8486661915304,24.16011378010805,25680.0,54344783.0,371594947.0,2.72089052653941,79319.0,45.2445654570022,52.4537903510343,30.5084745762712,95.0,2850.2497121322053,10.1064353383035,87.0828494926995,3563.0,291.0,49.66,0.26,-18.0,0.86,415.0,253.0
Belgium,BEL,100.0,25.57245028273836,12.0,49.949,37883.33194178194,68.8573,81004.86781009157,1.908869373536291,30333.0,467736704205.0,466723540552.0,1.22191451658895,66470.0,16.8887152146779,66.0426206784826,35.3333333333333,4.0,89709.94103242045,84.427037120012,11.15089523270562,7117.0,923.0,68.88,887.0,3.0,652.0,709.0,242.0
Benin,BEN,29.0,84.01454461085062,6.0,71.194,2215.3516385954167,1.85,1917.3676400427105,6.434152205780322,112760.0,376479830.0,1707894602.0,0.663958979626467,3198.0,44.2604599724375,52.6819083474978,10.8433734939759,54.8,3087.156114549709,41.8029662723105,84.0668998460186,3667.0,382.0,52.48,709.0,-4.0,825.0,574.0,303.0
Burkina Faso,BFA,12.5,87.61282341828576,10.0,77.477,1351.3604156913304,0.92,2402.986572699305,9.159800437490745,273600.0,457568555.0,1864385888.0,1.24291260830384,-40725.0,45.4345113770115,51.8582859601131,15.3153153153153,83.5,2412.2336922790646,23.3633747838557,80.7978165965944,3846.0,727.0,50.32,612.0,-99.0,887.0,538.0,304.0
Bangladesh,BGD,54.3,56.82983881204196,5.0,55.705,2554.857882387191,2.5,2830.891190284676,7.860966093942622,130170.0,11723751210.0,22297319644.0,0.938215291633285,-1158420.0,34.793277305561,61.2236072332278,6.33333333333333,45.2,4098.144876504081,26.87206041368,63.1649650606653,5052.0,467.0,60.16,606.0,-57.0,802.0,545.0,232.0
Bulgaria,BGR,92.3,19.32524357074097,9.0,51.785,13429.67576826152,39.67,10230.702361493604,8.103456585001737,108610.0,22117097161.0,36863097971.0,2.13186398257533,-17595.0,13.3243223176309,68.9477660778188,21.6666666666667,9.9,14033.927498061275,70.902099609375,7.733419506595,,,,,,,,
Bahrain,BHR,100.0,27.749264434584347,9.0,68.605,50330.32486225224,51.95,52274.5953377725,11.365091739546187,760.0,4435265205.0,10559255400.0,2.80016136873791,47674.0,21.264266023386,76.6298880133058,2.5,0.0,37062.49846379592,96.3461384245376,2.009494925467812,,,,,,,,
Bosnia and Herzegovina,BIH,99.3,22.711752559918164,9.0,39.35,8037.822731909336,34.66,8443.210800557106,7.337370642304819,51200.0,5050479246.0,12182453871.0,1.2206120604463,-68140.0,15.8155785197608,69.6360990990729,11.9047619047619,14.3,14087.165737889432,45.1090576163352,23.58877103900771,,,,,,,,
Belarus,BLR,93.2,20.93711646762272,9.0,57.655,13886.131407256573,23.0,9963.98301820518,21.213536120444303,202902.0,32570712509.0,38735630298.0,1.45349285157346,-495.0,14.7981217622425,70.6788956821645,31.8181818181818,7.1,9194.9324436086,73.5531692504883,9.57004451248077,5463.0,904.0,61.18,0.64,-223.0,696.0,,246.0
Belize,BLZ,86.1,61.77099016916128,8.0,56.426,9975.08124355363,26.3,18487.04529167174,3.5766332576710766,22810.0,294852828.0,736353469.0,1.07408006688025,2627.0,36.6647884177204,59.3558975100333,0.0,29.8,16420.82118969834,45.7599120745023,28.95506196447618,,,,,,,,
Bolivia,BOL,84.7,59.20759042016787,8.0,66.983,5889.943390819756,12.5,5992.795487113597,10.381181762674656,1083300.0,6858794079.0,5098835661.0,2.19395160882894,-13418.0,35.1824092471138,59.4221213736977,16.9230769230769,21.3,5194.464734800404,65.5448299960338,65.4125948848405,5298.0,785.0,61.3,726.0,-93.0,801.0,723.0,392.0
Brazil,BRA,98.5,37.710891273857015,8.0,61.619,13445.245469844209,33.83,15632.727962979778,8.778552729858589,8358140.0,192199991859.0,183236912338.0,1.44192408837717,-141056.0,25.6659605483771,68.0598093680495,8.96686159844054,47.0,17488.17597485689,83.8036050557184,26.46114699908976,6691.0,878.0,63.58,782.0,-81.0,688.0,718.0,265.0
Bhutan,BTN,67.6,47.956145621931725,,66.985,6035.217411478545,6.55,28904.73386877924,5.606180825058885,38117.0,522078459.0,543364899.0,,-1538.0,30.8135117356049,64.2535202443646,8.51063829787234,87.8,5323.072155834573,32.76371954591,70.0203718491226,,,,,,,,
Botswana,BWA,44.5,55.52640727171237,,51.717,13810.355526135994,6.25,56639.511313644114,9.37273025563468,566730.0,4945317110.0,5210653818.0,3.0976203987662,4343.0,34.4852396484972,62.1060421170474,11.1111111111111,27.8,13046.988682681069,61.8321593704079,26.230495740053232,5451.0,832.0,49.72,858.0,-164.0,806.0,677.0,218.0
Central African Republic,CAF,7.5,86.36589384955651,10.0,68.602,797.6528061660773,1.0,,7.077070723614227,622980.0,112313530.0,184758153.0,1.54988099383057,-28983.0,45.353234991967,52.5129011763258,10.4761904761905,93.6,,38.3474489192338,79.21830889085871,,,,,,,,
Canada,CAN,100.0,24.368421834413745,10.0,63.041,40376.0882836384,76.7,93038.1119247093,3.996316464541664,8965590.0,456282579651.0,428979950220.0,1.24551836677548,238083.0,16.9248874819745,69.4541838737891,22.0779220779221,21.6,69093.59448143869,80.6628944916604,10.361759379016055,7486.0,939.0,70.68,926.0,258.0,0.37,802.0,202.0
Switzerland,CHE,100.0,22.621185745819087,11.0,65.908,53808.78411270659,79.2,170761.20725576737,1.4499280492712217,39514.422,200272883027.0,183180120237.0,0.722484412265189,94430.0,15.4184891165977,68.1595183707141,28.5,19.6,141274.87415343028,73.5482927401305,11.78814028612066,,,,,,,,
Chile,CHL,98.2,32.98933317861001,12.0,53.11,16375.964853601148,37.3,36576.109376663466,0.3111324987349633,743532.0,63869922461.0,60353891290.0,2.5836522948610803,22488.0,22.4201537527077,67.9618306040719,15.0,30.8,22876.27659691289,86.8765769429469,20.28272537006112,5789.0,804.0,68.14,0.64,78.0,741.0,706.0,0.33
China,CHN,98.8,25.923710103173526,9.0,68.337,7712.846084250686,22.6,12376.726393361354,7.856586464632059,9388210.8,1428161358000.0,1039426206000.0,1.71604254580499,-764370.0,18.8667349652856,72.7779121303034,21.325744894543,14.1,13242.78078883883,46.9895057678223,42.013887418356,4846.0,748.0,66.18,853.0,-95.0,,705.0,147.0
Cote d'Ivoire,CIV,60.3,88.20137706334734,10.0,62.421,3115.8378918774533,1.9,7846.384276761666,5.3729334850033865,318000.0,9774552502.99999,7800473487.0,1.1017046812579,-150037.0,45.826290098159,51.9564314913448,8.86699507389163,74.2,6835.820401590721,46.3620274395029,79.6052882972561,,,,,,,,
Cameroon,CMR,50.6,82.50993011538428,6.0,77.304,2870.441068666053,3.4,7623.788376858443,4.9405368116780295,472710.0,2128093377.0,4100559766.000001,1.2555907411193,-10720.0,43.8210603052704,53.1100435707192,13.8888888888889,80.8,4706.481210449549,50.0858325268669,78.5622228316091,4292.0,697.0,48.72,0.58,-76.0,945.0,613.0,312.0
"Congo, Dem. Rep.",COD,11.6,90.4900577664365,6.0,67.334,584.0208103114721,0.44,4006.0896152278,24.623412494611458,2267050.0,4234070136.000001,7934010927.0,0.697347863400989,-82339.0,46.0393407811367,50.8777891378616,8.4,97.0,1684.5532899009827,38.5997245210844,81.3170045233249,,,,,,,,
"Congo, Rep.",COG,36.8,71.9967548188143,10.0,54.262,4448.332617142534,4.28751,14280.99920603452,16.269203427653608,341500.0,9127871774.0,3537663616.0,1.79027941022784,1774.0,40.6660601298037,56.4831801493491,7.2992700729927,56.8,6311.450302179344,62.0354815675203,76.47639787008482,3.82,555.0,52.24,526.0,-122.0,,603.0,298.0
Colombia,COL,96.8,43.543575247867125,10.0,56.925,10307.064987885446,25.6,17694.505410070193,7.677382915182633,1109500.0,36344608990.0,38359464837.0,3.73724698565115,-63313.0,28.6812345450402,65.8678880618973,8.43373493975904,30.8,10945.30616202237,76.4596761810047,43.57577899289624,6168.0,0.88,66.76,795.0,-45.0,763.0,768.0,307.0
Comoros,COM,57.8,81.21842826902723,6.0,40.724,2262.4985300029066,3.0,3802.465375756631,3.144289798653645,1861.0,4283795.0,118757962.0,,-3294.0,42.9222938883566,52.8479740412867,3.03030303030303,73.4,8374.9761344069,28.4193498063202,62.6145926619678,,,,,,,,
Costa Rica,CRI,99.3,38.56290027585458,11.0,57.904,12471.67231054331,32.29,28232.728584937868,11.423785785043664,51060.0,9459109826.999989,15009420853.0,,3794.0,25.8993947260344,67.1614577790751,36.8421052631579,40.7,21714.54940331122,68.7925833934861,24.59061311581249,6851.0,916.0,68.88,912.0,89.0,816.0,838.0,233.0
Cuba,CUB,97.3,26.07107353435701,9.0,53.379,,12.94,19063.670220722408,-0.3445325668130863,106440.0,3934380093.0,13320184610.0,,-29427.0,18.1879062890232,69.7627823612817,43.1596091205212,18.7,16648.40140388317,76.365461375763,9.792290884018518,,,,,,,,
Cyprus,CYP,100.0,25.38797043469965,10.0,61.286,32603.451171875,42.31,28878.16382358767,4.734624168949964,9240.0,1292694783.0,10637579740.0,1.6297049444974498,11887.0,18.0489658133877,71.0925903266328,14.2857142857143,5.7,37094.05218624098,67.8666261318649,14.40039856632918,,,,,,,,
Czechia,CZE,100.0,20.00957682814421,9.0,55.843,27937.841568101976,62.97,30277.52405209745,2.02633115006401,77240.0,146906371465.0,141504151964.0,1.23408817792114,29813.0,14.2086860627603,71.0094411002581,15.5,9.0,34443.02024374458,73.4655517409377,12.550167424193562,,,,,,,,
Germany,DEU,100.0,21.01581179725209,13.0,54.651,38443.53862789577,78.0,72586.2456119546,0.954758329559226,348630.0,1442141711744.0,1184556531217.0,1.1888700534429,-23341.0,13.8430409429011,65.8696443375807,32.1895424836601,10.2,75570.10890449678,80.2459549084581,7.001758702700742,6522.0,923.0,69.96,766.0,,758.0,672.0,0.22
Djibouti,DJI,57.4,62.87217464976247,10.0,24.66,,2.26,,,23180.0,57717063.0,511135536.0,2.62758252462798,2148.0,37.2403970501835,59.231954441051,13.8461538461538,33.1,,70.6793730584341,33.58641054962866,5009.0,0.69,53.64,773.0,126.0,576.0,0.74,0.12
Denmark,DNK,100.0,27.87020823993377,9.0,62.807,41467.38618797774,85.02,98940.83052930053,4.254258831200474,40000.0,116316167423.0,109425937056.0,1.34882681237568,25775.0,18.3659798970232,65.8982316949028,37.9888268156425,18.5,90037.4218520025,86.583137512207,6.68014800119571,7971.0,954.0,68.96,0.97,268.0,248.0,759.0,163.0
Dominican Republic,DOM,97.6,50.021443226379816,9.0,54.842,10345.808098275887,20.82,17949.787011884306,10.257606183013252,48310.0,6103640100.0,16027621543.0,0.699861657175699,-36723.0,31.7022018921711,63.3772183183557,19.6629213483146,17.7,12925.165273705938,72.4865154265802,43.44490594105381,4842.0,0.85,64.88,848.0,-48.0,728.0,654.0,329.0
Algeria,DZA,99.3,41.03974123472226,10.0,38.26,13666.218196053427,10.18,22539.567901975995,15.117882165657475,2381740.0,79297104449.0,39336145663.0,2.86740578765417,-2101.0,27.6792351291085,67.4449587946518,7.7120822622108,0.3,12594.208695359242,65.901485871159,29.10022176097565,,,,,,,,
Ecuador,ECU,97.2,51.60325264721216,10.0,63.943,8662.607362820745,18.8,20265.40278075161,15.094116008240334,248360.0,18335144316.0,18430259065.0,2.6922066648737,-8799.0,32.1423184343408,62.2873884599545,25.0,15.3,11208.329088785364,62.5395521004212,42.7212946625026,5297.0,829.0,65.12,0.64,-98.0,801.0,811.0,283.0
"Egypt, Arab Rep.",EGY,99.8,54.619613619650856,9.0,43.501,8190.709131610002,18.01,17718.64050542854,12.203984463099644,995450.0,24464052969.0,50659519106.0,2.1807854853701603,-192199.0,33.9447160701419,62.147484796431,1.80995475113122,5.9,12146.627260568606,42.9608989120873,19.14422827193963,4632.0,738.0,61.58,,-86.0,914.0,627.0,301.0
Spain,ESP,100.0,21.32249548652124,10.0,52.435,33349.94258061295,59.6,55408.12521700997,2.452043654103832,498800.0,269981599761.00003,422166113420.0,1.3676204845066602,434135.0,14.6850331352484,68.8710842643333,36.2857142857143,9.7,56009.05602303478,78.0421438998777,12.735939254071337,7294.0,948.0,70.76,834.0,-154.0,683.0,649.0,0.26
Estonia,EST,100.0,21.999168891796785,9.0,57.821,22803.51947422729,70.58,22143.27157896405,6.795108970523671,42390.0,12343892564.0,16061709734.0,1.76710636308365,-2034.0,14.8869845648034,67.6705253411554,20.7920792079208,20.5,34004.63213113373,67.6696980194394,6.976567474700496,5452.0,904.0,66.34,642.0,-221.0,663.0,595.0,218.0
Ethiopia,ETH,22.0,91.88547886307629,8.0,79.828,844.9883800186947,0.45,1242.7653572047095,30.31167307946842,1128568.3,1349874356.0,5807842650.0,1.51584796368311,-20780.0,46.6014422014263,50.7168742168035,21.9281663516068,94.1,1788.3606894809234,16.7936706542969,89.5838767830177,,,,,,,,
Finland,FIN,100.0,25.24469591095809,9.0,57.514,40081.22124820658,83.67,104348.9944891118,3.0375864160711075,303900.0,96767337761.0,91776312923.0,1.39102532971688,15626.0,16.8045011675249,66.5664510536331,41.5,34.6,81234.66717075212,69.2943672196361,9.27240231057814,7671.0,951.0,69.16,934.0,23.0,217.0,691.0,144.0
France,FRA,100.0,28.401424589756907,10.0,51.986,35053.26270691158,70.68,70518.40760110521,2.300799187625387,538950.0,603940022872.0,713965588156.001,1.89934504679172,79528.0,18.4587311698165,64.9922746331287,18.1975736568458,10.5,78883.34739833997,77.1561901569367,5.959056871417192,7008.0,935.0,71.0,833.0,-35.0,669.0,702.0,281.0
Gabon,GAB,82.0,65.58242549006302,10.0,39.282,13733.701286212228,7.5,116438.59215263747,20.478959040974143,257670.0,9558573086.0,2560060446.0,,13441.0,37.880193507241,57.7596714732372,16.6666666666667,87.3,19054.633428511752,85.2437672472316,33.65384615384618,,,,,,,,
