Country Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,stability,n_transitions
AFG,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8888888888888888,5
AGO,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8888888888888888,5
ALB,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0.8333333333333334,5
ARE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
ARG,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0.8888888888888888,4
ARM,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0.7222222222222222,8
AUS,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.9444444444444444,3
AUT,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.9444444444444444,3
AZE,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0.8333333333333334,5
BDI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9444444444444444,3
BEL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
BEN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9444444444444444,3
BFA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9444444444444444,3
BGD,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8888888888888888,5
BGR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
BHR,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.9444444444444444,3
BIH,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,0.7222222222222222,9
BLR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
BLZ,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0.5555555555555556,12
BOL,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0.6666666666666666,8
BRA,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.9444444444444444,3
BTN,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.8888888888888888,5
BWA,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0.6666666666666666,9
CAF,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9444444444444444,3
CAN,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.9444444444444444,3
CHE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
CHL,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0.8333333333333334,3
CHN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
CIV,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9444444444444444,3
CMR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9444444444444444,3
COD,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9444444444444444,3
COG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9444444444444444,3
COL,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0.7222222222222222,7
COM,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9444444444444444,3
CRI,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0.8333333333333334,7
CUB,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0.7777777777777778,7
CYP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0.8888888888888888,3
CZE,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.9444444444444444,3
DEU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
DJI,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0.6111111111111112,12
DNK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
DOM,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0.8333333333333334,7
DZA,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,0.7222222222222222,9
ECU,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0.7777777777777778,9
EGY,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0.5,13
ESP,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0.8888888888888888,3
EST,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.9444444444444444,3
ETH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9444444444444444,3
FIN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
FRA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
GAB,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0.7222222222222222,9
GBR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
GEO,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0.7222222222222222,7
GHA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.8888888888888888,5
GIN,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8888888888888888,5
GMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1
GRC,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0.7777777777777778,7
GTM,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0.6111111111111112,7
GUY,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0.7777777777777778,7
HKG,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9444444444444444,3
HND,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0.5,10
HRV,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0.9444444444444444,3
HTI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9444444444444444,3
HUN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
IDN,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0.6666666666666666,9
IND,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8888888888888888,5
IRL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
IRN,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0.5555555555555556,8
IRQ,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0.6111111111111112,13
ISL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
ISR,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.8888888888888888,3
ITA,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9444444444444444,3
JAM,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0.5555555555555556,8
JOR,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0.7777777777777778,7
JPN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
KAZ,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0.8333333333333334,7
KEN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9444444444444444,3
KGZ,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0.5,12
KHM,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8333333333333334,7
KOR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
KWT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
LAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.8888888888888888,3
LBN,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0.7222222222222222,6
LBR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9444444444444444,3
LBY,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0.7777777777777778,5
LKA,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0.6111111111111112,11
LSO,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8333333333333334,5
LTU,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0.8333333333333334,7
LUX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
LVA,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.8888888888888888,5
MAR,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0.7777777777777778,5
MDA,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0.6111111111111112,7
MDG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9444444444444444,3
MDV,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0.5,10
MEX,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0.8333333333333334,6
MKD,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0.7777777777777778,7
MLI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9444444444444444,3
MLT,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9444444444444444,3
MMR,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.9444444444444444,3
MNE,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0.8333333333333334,5
MNG,1,0,1,1,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0.5555555555555556,12
MOZ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9444444444444444,3
MRT,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8333333333333334,5
MUS,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0.8333333333333334,7
MWI,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8888888888888888,5
MYS,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0.8888888888888888,5
NAM,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8333333333333334,5
NER,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9444444444444444,3
NGA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9444444444444444,3
NIC,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0.7222222222222222,7
NLD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
NOR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
NPL,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.8333333333333334,7
NZL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
OMN,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.8888888888888888,3
PAK,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8888888888888888,5
PAN,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0.8333333333333334,5
PER,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0.8333333333333334,7
PHL,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0.5555555555555556,13
POL,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.9444444444444444,3
PRT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
PRY,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0.6666666666666666,9
PSE,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0.6111111111111112,8
QAT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
ROU,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0.8333333333333334,4
RUS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
RWA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8888888888888888,5
SAU,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.8888888888888888,3
SDN,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8888888888888888,5
SEN,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8888888888888888,5
SGP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
SLE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9444444444444444,3
SLV,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0.7222222222222222,7
SOM,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8333333333333334,5
SRB,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0.8333333333333334,5
SSD,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8888888888888888,5
SUR,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0.7222222222222222,11
SVK,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0.8888888888888888,3
SVN,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.9444444444444444,3
SWE,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.9444444444444444,3
SWZ,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8333333333333334,5
SYR,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0.6111111111111112,9
TCD,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9444444444444444,3
TGO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9444444444444444,3
THA,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0.5,12
TJK,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.7222222222222222,9
TKM,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0.7222222222222222,9
TTO,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0.7777777777777778,7
TUN,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0.8333333333333334,7
TUR,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0.7777777777777778,4
TZA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8888888888888888,5
UGA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9444444444444444,3
UKR,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0.7777777777777778,8
URY,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0.7777777777777778,9
USA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
UZB,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0.5,10
VEN,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0.5,6
VNM,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0.5,12
XKX,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0.7222222222222222,7
YEM,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,4
ZAF,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0.8888888888888888,5
ZMB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9444444444444444,3
ZWE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9444444444444444,3
